task_id,system,run_idx,n_claims_total,n_claims_scored,n_matched,n_hallucinated,numerical_accuracy,hallucination_rate
solar_01_b,langgraph,1,3,2,1,1,0.5,0.5
solar_01_c,langgraph,0,2,2,2,0,1.0,0.0
solar_01_c,langgraph,1,4,4,2,2,0.5,0.5
solar_02,langgraph,0,5,4,0,4,0.0,1.0
solar_02,langgraph,1,4,4,0,4,0.0,1.0
payment_01_a,langgraph,0,3,3,2,1,0.667,0.333
payment_01_a,langgraph,1,3,3,2,1,0.667,0.333
payment_01_b,langgraph,0,3,3,2,1,0.667,0.333
payment_01_b,langgraph,1,3,3,2,1,0.667,0.333
payment_01_c,langgraph,0,3,3,2,1,0.667,0.333
payment_01_c,langgraph,1,3,3,2,1,0.667,0.333
payment_02,langgraph,0,14,14,14,0,1.0,0.0
payment_02,langgraph,1,11,11,11,0,1.0,0.0
multihop_01,langgraph,0,4,2,2,0,1.0,0.0
multihop_01,langgraph,1,4,1,1,0,1.0,0.0
multihop_02,langgraph,0,0,0,0,0,,
multihop_02,langgraph,1,1,1,1,0,1.0,0.0
multihop_03,langgraph,0,2,0,0,0,,
multihop_03,langgraph,1,3,0,0,0,,
multihop_04,langgraph,0,5,5,4,1,0.8,0.2
multihop_04,langgraph,1,5,5,4,1,0.8,0.2
multihop_05,langgraph,0,13,12,12,0,1.0,0.0
multihop_05,langgraph,1,17,15,14,1,0.933,0.067
multihop_06,langgraph,0,4,4,3,1,0.75,0.25
multihop_06,langgraph,1,4,4,3,1,0.75,0.25
multihop_07,langgraph,0,3,2,1,1,0.5,0.5
multihop_07,langgraph,1,3,2,2,0,1.0,0.0
multihop_08,langgraph,0,19,19,19,0,1.0,0.0
multihop_08,langgraph,1,20,20,19,1,0.95,0.05
multihop_09,langgraph,0,23,23,20,3,0.87,0.13
multihop_09,langgraph,1,17,17,14,3,0.824,0.176
multihop_10,langgraph,0,29,28,22,6,0.786,0.214
multihop_10,langgraph,1,29,27,20,7,0.741,0.259
billing_01_a,one_shot,0,0,0,0,0,,
billing_01_a,one_shot,1,0,0,0,0,,
billing_01_b,one_shot,0,0,0,0,0,,
billing_01_b,one_shot,1,0,0,0,0,,
billing_01_c,one_shot,0,0,0,0,0,,
billing_01_c,one_shot,1,0,0,0,0,,
billing_02,one_shot,0,0,0,0,0,,
billing_02,one_shot,1,0,0,0,0,,
billing_03,one_shot,0,0,0,0,0,,
billing_03,one_shot,1,0,0,0,0,,
anomaly_01_a,one_shot,0,0,0,0,0,,
anomaly_01_a,one_shot,1,0,0,0,0,,
anomaly_01_b,one_shot,0,0,0,0,0,,
anomaly_01_b,one_shot,1,0,0,0,0,,
anomaly_01_c,one_shot,0,0,0,0,0,,
anomaly_01_c,one_shot,1,0,0,0,0,,
anomaly_02,one_shot,0,0,0,0,0,,
anomaly_02,one_shot,1,0,0,0,0,,
outage_01_a,one_shot,0,0,0,0,0,,
outage_01_a,one_shot,1,0,0,0,0,,
outage_01_b,one_shot,0,0,0,0,0,,
outage_01_b,one_shot,1,0,0,0,0,,
outage_01_c,one_shot,0,0,0,0,0,,
outage_01_c,one_shot,1,0,0,0,0,,
outage_02,one_shot,0,0,0,0,0,,
outage_02,one_shot,1,0,0,0,0,,
weather_01_a,one_shot,0,0,0,0,0,,
weather_01_a,one_shot,1,0,0,0,0,,
weather_01_b,one_shot,0,0,0,0,0,,
weather_01_b,one_shot,1,0,0,0,0,,
weather_01_c,one_shot,0,0,0,0,0,,
weather_01_c,one_shot,1,0,0,0,0,,
weather_02,one_shot,0,0,0,0,0,,
weather_02,one_shot,1,0,0,0,0,,
solar_01_a,one_shot,0,0,0,0,0,,
solar_01_a,one_shot,1,0,0,0,0,,
solar_01_b,one_shot,0,0,0,0,0,,
solar_01_b,one_shot,1,0,0,0,0,,
solar_01_c,one_shot,0,0,0,0,0,,
solar_01_c,one_shot,1,0,0,0,0,,
solar_02,one_shot,0,0,0,0,0,,
solar_02,one_shot,1,0,0,0,0,,
payment_01_a,one_shot,0,0,0,0,0,,
payment_01_a,one_shot,1,0,0,0,0,,
payment_01_b,one_shot,0,0,0,0,0,,
payment_01_b,one_shot,1,0,0,0,0,,
payment_01_c,one_shot,0,0,0,0,0,,
payment_01_c,one_shot,1,0,0,0,0,,
payment_02,one_shot,0,0,0,0,0,,
payment_02,one_shot,1,0,0,0,0,,
multihop_01,one_shot,0,0,0,0,0,,
multihop_01,one_shot,1,0,0,0,0,,
multihop_02,one_shot,0,0,0,0,0,,
multihop_02,one_shot,1,0,0,0,0,,
multihop_03,one_shot,0,0,0,0,0,,
multihop_03,one_shot,1,0,0,0,0,,
multihop_04,one_shot,0,0,0,0,0,,
multihop_04,one_shot,1,0,0,0,0,,
multihop_05,one_shot,0,0,0,0,0,,
multihop_05,one_shot,1,0,0,0,0,,
multihop_06,one_shot,0,0,0,0,0,,
multihop_06,one_shot,1,0,0,0,0,,
multihop_07,one_shot,0,0,0,0,0,,
multihop_07,one_shot,1,0,0,0,0,,
multihop_08,one_shot,0,0,0,0,0,,
multihop_08,one_shot,1,0,0,0,0,,
multihop_09,one_shot,0,0,0,0,0,,
multihop_09,one_shot,1,0,0,0,0,,
multihop_10,one_shot,0,0,0,0,0,,
multihop_10,one_shot,1,0,0,0,0,,
billing_01_a,orchestrator,0,10,10,8,2,0.8,0.2
billing_01_a,orchestrator,1,17,17,14,3,0.824,0.176
billing_01_b,orchestrator,0,10,10,7,3,0.7,0.3
billing_01_b,orchestrator,1,10,10,7,3,0.7,0.3
billing_01_c,orchestrator,0,17,16,15,1,0.938,0.062
billing_01_c,orchestrator,1,19,17,16,1,0.941,0.059
billing_02,orchestrator,0,20,19,15,4,0.789,0.211
billing_02,orchestrator,1,13,12,11,1,0.917,0.083
billing_03,orchestrator,0,16,15,15,0,1.0,0.0
billing_03,orchestrator,1,14,14,14,0,1.0,0.0
anomaly_01_a,orchestrator,0,0,0,0,0,,
anomaly_01_a,orchestrator,1,0,0,0,0,,
anomaly_01_b,orchestrator,0,1,0,0,0,,
anomaly_01_b,orchestrator,1,2,0,0,0,,
anomaly_01_c,orchestrator,0,0,0,0,0,,
anomaly_01_c,orchestrator,1,0,0,0,0,,
anomaly_02,orchestrator,0,10,7,1,6,0.143,0.857
anomaly_02,orchestrator,1,4,1,1,0,1.0,0.0
outage_01_a,orchestrator,0,2,2,2,0,1.0,0.0
outage_01_a,orchestrator,1,2,2,2,0,1.0,0.0
outage_01_b,orchestrator,0,0,0,0,0,,
outage_01_b,orchestrator,1,0,0,0,0,,
outage_01_c,orchestrator,0,1,1,1,0,1.0,0.0
outage_01_c,orchestrator,1,1,1,1,0,1.0,0.0
outage_02,orchestrator,0,0,0,0,0,,
outage_02,orchestrator,1,0,0,0,0,,
weather_01_a,orchestrator,0,2,0,0,0,,
weather_01_a,orchestrator,1,2,0,0,0,,
weather_01_b,orchestrator,0,5,5,4,1,0.8,0.2
weather_01_b,orchestrator,1,11,11,7,4,0.636,0.364
weather_01_c,orchestrator,0,2,0,0,0,,
weather_01_c,orchestrator,1,2,0,0,0,,
weather_02,orchestrator,0,3,0,0,0,,
weather_02,orchestrator,1,3,0,0,0,,
solar_01_a,orchestrator,0,5,4,2,2,0.5,0.5
solar_01_a,orchestrator,1,4,2,1,1,0.5,0.5
solar_01_b,orchestrator,0,4,2,2,0,1.0,0.0
solar_01_b,orchestrator,1,3,3,3,0,1.0,0.0
solar_01_c,orchestrator,0,3,2,2,0,1.0,0.0
solar_01_c,orchestrator,1,3,2,1,1,0.5,0.5
solar_02,orchestrator,0,5,4,0,4,0.0,1.0
solar_02,orchestrator,1,6,5,0,5,0.0,1.0
payment_01_a,orchestrator,0,4,4,3,1,0.75,0.25
payment_01_a,orchestrator,1,2,2,1,1,0.5,0.5
payment_01_b,orchestrator,0,4,4,3,1,0.75,0.25
payment_01_b,orchestrator,1,4,4,3,1,0.75,0.25
payment_01_c,orchestrator,0,4,4,3,1,0.75,0.25
payment_01_c,orchestrator,1,4,4,3,1,0.75,0.25
payment_02,orchestrator,0,11,11,11,0,1.0,0.0
payment_02,orchestrator,1,13,13,13,0,1.0,0.0
multihop_01,orchestrator,0,19,19,16,3,0.842,0.158
multihop_01,orchestrator,1,11,11,7,4,0.636,0.364
multihop_02,orchestrator,0,3,3,3,0,1.0,0.0
multihop_02,orchestrator,1,4,4,4,0,1.0,0.0
multihop_03,orchestrator,0,2,0,0,0,,
multihop_03,orchestrator,1,2,0,0,0,,
multihop_04,orchestrator,0,5,5,4,1,0.8,0.2
multihop_04,orchestrator,1,6,6,5,1,0.833,0.167
multihop_05,orchestrator,0,21,19,17,2,0.895,0.105
multihop_05,orchestrator,1,18,16,15,1,0.938,0.062
multihop_06,orchestrator,0,10,10,7,3,0.7,0.3
multihop_06,orchestrator,1,8,8,6,2,0.75,0.25
multihop_07,orchestrator,0,11,10,7,3,0.7,0.3
multihop_07,orchestrator,1,14,13,8,5,0.615,0.385
multihop_08,orchestrator,0,21,21,16,5,0.762,0.238
multihop_08,orchestrator,1,14,14,14,0,1.0,0.0
multihop_09,orchestrator,0,18,18,16,2,0.889,0.111
multihop_09,orchestrator,1,17,17,15,2,0.882,0.118
multihop_10,orchestrator,0,22,22,18,4,0.818,0.182
multihop_10,orchestrator,1,25,24,18,6,0.75,0.25
billing_01_a,rag,0,23,21,18,3,0.857,0.143
billing_01_a,rag,1,21,19,16,3,0.842,0.158
billing_01_b,rag,0,14,14,12,2,0.857,0.143
billing_01_b,rag,1,15,15,14,1,0.933,0.067
billing_01_c,rag,0,21,19,16,3,0.842,0.158
billing_01_c,rag,1,21,19,16,3,0.842,0.158
billing_02,rag,0,0,0,0,0,,
billing_02,rag,1,0,0,0,0,,
billing_03,rag,0,2,2,2,0,1.0,0.0
billing_03,rag,1,2,2,2,0,1.0,0.0
anomaly_01_a,rag,0,6,6,5,1,0.833,0.167
anomaly_01_a,rag,1,7,7,6,1,0.857,0.143
anomaly_01_b,rag,0,2,2,0,2,0.0,1.0
anomaly_01_b,rag,1,6,6,0,6,0.0,1.0
anomaly_01_c,rag,0,8,8,0,8,0.0,1.0
anomaly_01_c,rag,1,4,4,0,4,0.0,1.0
anomaly_02,rag,0,4,4,1,3,0.25,0.75
anomaly_02,rag,1,4,4,2,2,0.5,0.5
outage_01_a,rag,0,1,1,1,0,1.0,0.0
outage_01_a,rag,1,1,1,1,0,1.0,0.0
outage_01_b,rag,0,2,2,0,2,0.0,1.0
outage_01_b,rag,1,2,2,0,2,0.0,1.0
outage_01_c,rag,0,0,0,0,0,,
outage_01_c,rag,1,0,0,0,0,,
outage_02,rag,0,2,2,2,0,1.0,0.0
outage_02,rag,1,2,2,2,0,1.0,0.0
weather_01_a,rag,0,11,11,6,5,0.545,0.455
weather_01_a,rag,1,8,8,6,2,0.75,0.25
weather_01_b,rag,0,12,12,11,1,0.917,0.083
weather_01_b,rag,1,8,8,7,1,0.875,0.125
weather_01_c,rag,0,0,0,0,0,,
weather_01_c,rag,1,0,0,0,0,,
weather_02,rag,0,0,0,0,0,,
weather_02,rag,1,0,0,0,0,,
solar_01_a,rag,0,8,8,0,8,0.0,1.0
solar_01_a,rag,1,6,6,0,6,0.0,1.0
solar_01_b,rag,0,8,8,8,0,1.0,0.0
solar_01_b,rag,1,4,4,4,0,1.0,0.0
solar_01_c,rag,0,5,5,0,5,0.0,1.0
solar_01_c,rag,1,5,5,0,5,0.0,1.0
solar_02,rag,0,0,0,0,0,,
solar_02,rag,1,0,0,0,0,,
payment_01_a,rag,0,1,1,0,1,0.0,1.0
payment_01_a,rag,1,1,1,0,1,0.0,1.0
payment_01_b,rag,0,3,3,1,2,0.333,0.667
payment_01_b,rag,1,2,2,1,1,0.5,0.5
payment_01_c,rag,0,9,9,4,5,0.444,0.556
payment_01_c,rag,1,1,1,0,1,0.0,1.0
payment_02,rag,0,2,2,2,0,1.0,0.0
payment_02,rag,1,0,0,0,0,,
multihop_01,rag,0,23,21,19,2,0.905,0.095
multihop_01,rag,1,22,21,20,1,0.952,0.048
multihop_02,rag,0,1,1,1,0,1.0,0.0
multihop_02,rag,1,1,1,1,0,1.0,0.0
multihop_03,rag,0,2,2,0,2,0.0,1.0
multihop_03,rag,1,2,2,0,2,0.0,1.0
multihop_04,rag,0,7,7,5,2,0.714,0.286
multihop_04,rag,1,6,6,4,2,0.667,0.333
multihop_05,rag,0,20,18,15,3,0.833,0.167
multihop_05,rag,1,20,18,15,3,0.833,0.167
multihop_06,rag,0,3,3,1,2,0.333,0.667
multihop_06,rag,1,3,3,2,1,0.667,0.333
multihop_07,rag,0,10,10,10,0,1.0,0.0
multihop_07,rag,1,10,10,6,4,0.6,0.4
multihop_08,rag,0,0,0,0,0,,
multihop_08,rag,1,0,0,0,0,,
multihop_09,rag,0,10,10,5,5,0.5,0.5
multihop_09,rag,1,11,11,6,5,0.545,0.455
multihop_10,rag,0,27,25,23,2,0.92,0.08
multihop_10,rag,1,28,26,24,2,0.923,0.077
