task_id,system,run_idx,category,paraphrase_group,expected_agents,actual_agents,expected_sequence,actual_sequence,agent_precision,agent_recall,agent_f1,weighted_precision,weighted_recall,weighted_f1,sequence_accuracy,fact_coverage,task_success,judge_overall,judge_consistency,judge_completeness,judge_groundedness,judge_actionability,judge_task_success,numerical_accuracy,hallucination_rate,n_claims_scored,total_latency_ms,agent_exec_sum_ms,reasoning_overhead_ms,overhead_ratio,mapping_latency_ms,tokens,steps_completed,error,answer_chars
payment_01_a,langgraph,0,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,27237,0,27237,1.0,0,3989,,,1182
payment_01_a,langgraph,1,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,4497,0,4497,1.0,0,3948,,,984
payment_01_b,langgraph,0,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,4820,0,4820,1.0,0,3953,,,1030
payment_01_b,langgraph,1,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,3906,0,3906,1.0,0,3979,,,1139
payment_01_c,langgraph,0,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,4083,0,4083,1.0,0,3992,,,1129
payment_01_c,langgraph,1,payment_risk,hardship_1002,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.667,0.333,3,4502,0,4502,1.0,0,3988,,,1175
payment_02,langgraph,0,payment_risk,program_1002,program_enrollment_simulation_agent,billing_agent|program_enrollment_simulation_agent,program_enrollment_simulation_agent,billing_agent|program_enrollment_simulation_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,0.5,1,5.0,5,5,5,5,True,1.0,0.0,14,30002,0,30002,1.0,0,7764,,,1494
payment_02,langgraph,1,payment_risk,program_1002,program_enrollment_simulation_agent,billing_agent|program_enrollment_simulation_agent,program_enrollment_simulation_agent,billing_agent|program_enrollment_simulation_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,11,13023,0,13023,1.0,0,7498,,,1473
multihop_01,langgraph,0,billing,multihop_full_1001,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,customer_lookup_agent|billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,1.0,0.75,0.857,1.0,0.474,0.643,0.6,0.8,1,5.0,5,5,5,5,True,1.0,0.0,2,11166,0,11166,1.0,0,5267,,,1748
multihop_01,langgraph,1,billing,multihop_full_1001,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,customer_lookup_agent|billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,1.0,0.75,0.857,1.0,0.474,0.643,0.6,0.8,1,5.0,5,5,5,5,True,1.0,0.0,1,14205,0,14205,1.0,0,5288,,,1803
multihop_02,langgraph,0,outage,outage_credit_1002,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,1,5.0,5,5,5,5,True,,,0,6864,0,6864,1.0,0,6206,,,431
multihop_02,langgraph,1,outage,outage_credit_1002,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,outage_detection_agent|billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,1,5.0,5,5,5,5,True,1.0,0.0,1,7677,0,7677,1.0,0,6291,,,622
multihop_03,langgraph,0,weather,weather_anomaly_1001,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.25,5,4,5,3,True,,,0,5435,0,5435,1.0,0,4551,,,1009
multihop_03,langgraph,1,weather,weather_anomaly_1001,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,anomaly_detection_agent|weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,,,0,5172,0,5172,1.0,0,4515,,,741
multihop_04,langgraph,0,payment_risk,shock_risk_1002,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,5.0,5,5,5,5,True,0.8,0.2,5,29258,0,29258,1.0,0,6317,,,1030
multihop_04,langgraph,1,payment_risk,shock_risk_1002,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,5.0,5,5,5,5,True,0.8,0.2,5,7438,0,7438,1.0,0,6335,,,1027
multihop_05,langgraph,0,billing,lookup_billing_1001,customer_lookup_agent|billing_agent,billing_agent,customer_lookup_agent|billing_agent,billing_agent,1.0,0.5,0.667,1.0,0.5,0.667,0.5,1.0,1,5.0,5,5,5,5,True,1.0,0.0,12,10234,0,10234,1.0,0,4265,,,1081
multihop_05,langgraph,1,billing,lookup_billing_1001,customer_lookup_agent|billing_agent,billing_agent,customer_lookup_agent|billing_agent,billing_agent,1.0,0.5,0.667,1.0,0.5,0.667,0.5,1.0,1,5.0,5,5,5,5,True,0.933,0.067,15,7302,0,7302,1.0,0,4133,,,920
multihop_06,langgraph,0,payment_risk,outage_risk_1002,outage_detection_agent|bill_shock_forecast_agent|payment_risk_hardship_agent,outage_detection_agent|billing_agent|payment_risk_hardship_agent,outage_detection_agent|bill_shock_forecast_agent|payment_risk_hardship_agent,outage_detection_agent|billing_agent|payment_risk_hardship_agent,0.667,0.667,0.667,0.87,0.87,0.87,0.667,1.0,1,5.0,5,5,5,5,True,0.75,0.25,4,11425,0,11425,1.0,0,6976,,,1200
multihop_06,langgraph,1,payment_risk,outage_risk_1002,outage_detection_agent|bill_shock_forecast_agent|payment_risk_hardship_agent,outage_detection_agent|billing_agent|payment_risk_hardship_agent,outage_detection_agent|bill_shock_forecast_agent|payment_risk_hardship_agent,outage_detection_agent|billing_agent|payment_risk_hardship_agent,0.667,0.667,0.667,0.87,0.87,0.87,0.667,1.0,1,5.0,5,5,5,5,True,0.75,0.25,4,12509,0,12509,1.0,0,7002,,,1224
multihop_07,langgraph,0,solar,weather_solar_billing_1001,weather_context_agent|solar_performance_credit_loss_agent|billing_agent,weather_context_agent|solar_performance_credit_loss_agent,weather_context_agent|solar_performance_credit_loss_agent|billing_agent,weather_context_agent|solar_performance_credit_loss_agent,1.0,0.667,0.8,1.0,0.565,0.722,0.667,0.667,1,4.75,5,5,5,4,True,0.5,0.5,2,36050,0,36050,1.0,0,4516,,,728
multihop_07,langgraph,1,solar,weather_solar_billing_1001,weather_context_agent|solar_performance_credit_loss_agent|billing_agent,weather_context_agent|solar_performance_credit_loss_agent,weather_context_agent|solar_performance_credit_loss_agent|billing_agent,weather_context_agent|solar_performance_credit_loss_agent,1.0,0.667,0.8,1.0,0.565,0.722,0.667,1.0,1,5.0,5,5,5,5,True,1.0,0.0,2,5736,0,5736,1.0,0,4761,,,892
multihop_08,langgraph,0,anomaly,lookup_anomaly_program_1002,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,19,10332,0,10332,1.0,0,8492,,,1848
multihop_08,langgraph,1,anomaly,lookup_anomaly_program_1002,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,customer_lookup_agent|anomaly_detection_agent|program_enrollment_simulation_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.95,0.05,20,9319,0,9319,1.0,0,8407,,,1443
multihop_09,langgraph,0,payment_risk,forecast_program_risk_1002,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.87,0.13,23,10853,0,10853,1.0,0,10845,,,2398
multihop_09,langgraph,1,payment_risk,forecast_program_risk_1002,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,bill_shock_forecast_agent|program_enrollment_simulation_agent|payment_risk_hardship_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.824,0.176,17,11781,0,11781,1.0,0,10797,,,1934
multihop_10,langgraph,0,billing,full_investigation_1001,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.786,0.214,28,10751,0,10751,1.0,0,6145,,,2379
multihop_10,langgraph,1,billing,full_investigation_1001,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent|billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.741,0.259,27,11565,0,11565,1.0,0,6282,,,2919
billing_01_a,orchestrator,0,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.8,0.2,10,27576,5119,22457,0.814,0,0,4,,2706
billing_01_a,orchestrator,1,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.824,0.176,17,24113,4227,19886,0.825,0,0,4,,2794
billing_01_b,orchestrator,0,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.7,0.3,10,15697,4278,11419,0.727,0,0,4,,2354
billing_01_b,orchestrator,1,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.7,0.3,10,24547,3103,21444,0.874,0,0,4,,2298
billing_01_c,orchestrator,0,billing,high_bill_july_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.938,0.062,16,14512,2529,11983,0.826,0,0,1,,1915
billing_01_c,orchestrator,1,billing,high_bill_july_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.941,0.059,17,11369,2849,8520,0.749,0,0,1,,2030
billing_02,orchestrator,0,billing,line_items_1002,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.789,0.211,19,10206,3210,6996,0.685,0,0,1,,1484
billing_02,orchestrator,1,billing,line_items_1002,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.917,0.083,12,12119,2518,9601,0.792,0,0,1,,1550
billing_03,orchestrator,0,billing,dispute_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,15,11430,2451,8979,0.786,0,0,1,,1423
billing_03,orchestrator,1,billing,dispute_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,14,16772,8639,8133,0.485,0,0,1,,1407
