dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
3488,2019-06-24 15:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.228,,,,0.406,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.996,,,,,0.451,0.504,,,,120.859,121.18
3488,2019-06-24 15:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.228,,,,0.649,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.668,,,,,0.518,0.491,,,,120.784,120.863
5997,2019-06-29 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,-0.001,,0.0,,,,,0.096,,-5.025,,,,,,,,,0.109,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,5.605,,,,0.307,,-0.001,,,,122.184,123.126
5997,2019-06-29 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.092,,-2.515,,,,,,,,,0.076,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.063,,,,0.304,,0.0,,,,121.812,122.779
5997,2019-06-29 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.087,,-1.009,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.457,,,,0.278,,0.0,,,,121.649,122.402
5997,2019-06-29 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,-0.001,,0.0,,,,,0.1,,-3.861,,,,,,,,,0.03,,0.01,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.292,,,,0.208,,-0.001,,,,122.407,123.063
5997,2019-06-24 15:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.117,,,,,,,,,0.023,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.776,,,,0.502,,0.0,,,,121.879,122.713
5997,2019-06-24 15:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.036,,,,,,,,,0.11,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.48,,,,0.191,,0.0,,,,121.885,122.668
5997,2019-06-24 15:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.427,,,,,,,,,0.007,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.772,,,,0.271,,0.0,,,,122.052,122.676
5997,2019-06-24 15:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.223,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.651,,,,0.354,,0.0,,,,121.881,122.396
5997,2019-06-24 16:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.172,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.606,,,,0.242,,0.121,,,,121.955,122.478
5997,2019-06-24 16:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.937,,,,,,,,,0.093,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.412,,,,0.311,,0.0,,,,121.935,122.656
5997,2019-06-24 16:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.719,,,,,,,,,0.045,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.076,,,,0.24,,0.0,,,,121.774,122.303
5997,2019-06-24 16:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.109,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.468,,,,0.285,,0.0,,,,121.924,122.245
3488,2019-06-24 16:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.232,,,,0.732,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.087,,,,,0.488,,,,,0.185,-0.001,,,,121.579,121.858
3488,2019-06-24 16:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.232,,,,1.378,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.084,,,,,0.517,,,,,0.17,-0.003,,,,121.538,122.141
3488,2019-06-24 16:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.232,,,,0.297,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.067,,,,,0.457,,,,,0.161,0.009,,,,121.478,121.718
3488,2019-06-24 16:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.233,,,,-0.046,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.589,,,,,0.164,0.066,,,,121.836,121.62
5997,2019-06-24 17:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.003,,0.689,,,,,,,,,0.048,,0.105,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.385,,,,0.408,,0.457,,,,121.527,122.554
5997,2019-06-24 17:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.003,,0.587,,,,,,,,,0.077,,0.026,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.428,,,,0.41,,0.445,,,,121.572,122.427
5997,2019-06-24 17:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.003,,0.631,,,,,,,,,0.081,,0.026,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.446,,,,0.411,,0.428,,,,121.482,122.351
5997,2019-06-24 17:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.003,,0.281,,,,,,,,,0.002,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.744,,,,0.499,,0.401,,,,121.439,122.525
3488,2019-06-24 17:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.137,,,,,,0.001,,,0.235,,,,1.366,,,,,,,,,0.002,0.006,,,,,,,,,,,,,,,,,,,,,0.006,,,,,0.159,,,,,0.107,0.339,,,,122.581,122.009
3488,2019-06-24 17:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.029,,,,,,0.0,,,0.234,,,,0.785,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.026,,,,,0.184,,,,,0.107,0.037,,,,122.398,121.95
3488,2019-06-24 17:15:00-05,0.595,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.463,,,,1.58,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.083,,,,,0.209,,,,,0.106,0.0,,,,121.889,121.658
3488,2019-06-24 17:00:00-05,1.347,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.632,,,,2.291,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.085,,,,,0.316,,,,,0.106,-0.001,,,,122.019,121.944
3488,2019-06-24 18:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.08,,,,,,0.001,,,0.757,,,,2.01,,,,,,,,,0.0,0.006,,,,,,,,,,,,,,,,,,,,,0.087,,,,,0.083,,,,,0.011,0.437,,,,121.109,121.829
3488,2019-06-24 18:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.16,,,,,,0.001,,,0.758,,,,2.086,,,,,,,,,0.0,0.006,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.143,,,,,0.04,0.416,,,,121.053,121.435
3488,2019-06-24 18:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.097,,,,,,0.001,,,0.756,,,,2.286,,,,,,,,,0.0,0.006,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.165,,,,,0.105,0.395,,,,120.868,121.511
3488,2019-06-24 18:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.106,,,,,,0.001,,,0.629,,,,1.909,,,,,,,,,0.0,0.006,,,,,,,,,,,,,,,,,,,,,0.081,,,,,0.138,,,,,0.106,0.375,,,,121.68,121.699
5997,2019-06-24 18:45:00-05,,,,,,0.017,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.089,,1.034,,,,,,,,,0.067,,0.236,,,,,,,,0.001,,,,,,,,,,,,,,,,,0.243,,,,0.265,,0.471,,,,121.577,122.612
5997,2019-06-24 18:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.093,,0.993,,,,,,,,,0.002,,0.282,,,,,,,,0.001,,,,,,,,,,,,,,,,,0.381,,,,0.422,,0.484,,,,121.304,122.349
5997,2019-06-24 18:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.103,,0.985,,,,,,,,,0.09,,0.289,,,,,,,,0.14,,,,,,,,,,,,,,,,,0.432,,,,0.274,,0.473,,,,121.341,122.237
5997,2019-06-24 18:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.007,,1.026,,,,,,,,,0.115,,0.283,,,,,,,,0.001,,,,,,,,,,,,,,,,,0.307,,,,0.408,,0.465,,,,121.244,122.371
5997,2019-06-24 19:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.085,,1.194,,,,,,,,,0.031,,0.29,,,,,,,,0.001,,,,,,,,,,,,,,,,,-0.032,,,,0.289,,0.41,,,,120.879,121.476
5997,2019-06-24 19:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.085,,1.2,,,,,,,,,0.102,,0.281,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.019,,,,0.267,,0.391,,,,121.008,121.634
5997,2019-06-24 19:15:00-05,,,,,,0.007,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.086,,1.139,,,,,,,,,0.005,,0.213,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.054,,,,0.455,,0.373,,,,121.44,122.386
5997,2019-06-24 19:00:00-05,,,,,,0.035,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.087,,1.067,,,,,,,,,0.069,,0.157,,,,,,,,0.002,,,,,,,,,,,,,,,,,0.126,,,,0.408,,0.365,,,,121.519,122.467
3488,2019-06-24 19:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,4.55,,,0.733,,,,6.831,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.065,,,,,-0.003,,,,,0.011,0.417,,,,119.15,120.249
3488,2019-06-24 19:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,2.881,,,0.743,,,,4.794,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.066,,,,,-0.005,,,,,0.011,0.492,,,,119.871,120.738
3488,2019-06-24 19:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.752,,,,2.02,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.083,,,,,0.011,,,,,0.011,0.477,,,,120.635,121.434
3488,2019-06-24 19:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.755,,,,1.92,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.084,,,,,0.042,,,,,0.011,0.457,,,,120.918,121.466
3488,2019-06-24 20:45:00-05,1.684,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.002,,,0.755,,,,3.92,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.1,,,,,-0.003,,,,,0.004,0.464,,,,120.909,122.112
3488,2019-06-24 20:30:00-05,1.682,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.75,,,,3.94,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.184,,,,,-0.003,,,,,0.005,0.44,,,,120.193,121.806
3488,2019-06-24 20:15:00-05,1.528,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.006,,,0.752,,,,3.91,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.233,,,,,-0.003,,,,,0.005,0.417,,,,120.302,121.793
3488,2019-06-24 20:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,1.869,,,0.707,,,,4.075,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.082,,,,,-0.003,,,,,0.006,0.393,,,,120.022,121.459
5997,2019-06-24 20:45:00-05,,,,,,0.002,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.083,,1.003,,,,,,,,,0.107,,0.042,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.245,,0.47,,,,121.763,122.402
5997,2019-06-24 20:30:00-05,,,,,,0.011,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.084,,1.11,,,,,,,,,0.009,,0.085,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.302,,0.461,,,,121.6,122.348
5997,2019-06-24 20:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.084,,1.249,,,,,,,,,0.093,,0.155,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.328,,0.45,,,,121.4,122.196
5997,2019-06-24 20:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,-0.001,,,,,0.084,,1.215,,,,,,,,,0.035,,0.293,,,,,,,,0.001,,,,,,,,,,,,,,,,,-0.002,,,,0.295,,0.43,,,,121.31,122.024
3488,2019-06-24 21:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.765,,,,1.838,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.074,,,,,-0.003,,,,,0.005,0.45,,,,121.71,122.503
3488,2019-06-24 21:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.39,,,,1.882,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.101,,,,,-0.003,,,,,0.005,0.518,,,,121.274,122.259
3488,2019-06-24 21:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,1.779,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.104,,,,,-0.003,,,,,0.005,0.504,,,,121.419,122.255
3488,2019-06-24 21:00:00-05,0.695,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.001,,,0.505,,,,2.707,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.115,,,,,-0.003,,,,,0.005,0.487,,,,121.808,122.885
5997,2019-06-24 21:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.518,,,,,,,,,0.009,,0.033,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.01,,,,0.239,,0.001,,,,121.928,122.532
5997,2019-06-24 21:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.535,,,,,,,,,0.068,,0.033,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.278,,0.012,,,,121.889,122.473
5997,2019-06-24 21:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.562,,,,,,,,,0.057,,0.033,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.26,,0.068,,,,121.728,122.256
5997,2019-06-24 21:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.083,,0.936,,,,,,,,,0.022,,0.033,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.26,,0.482,,,,122.274,122.751
5997,2019-06-29 15:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,-0.001,,-0.002,,,,,0.087,,-3.614,,,,,,,,,0.063,,0.276,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.376,,,,0.273,,-0.001,,,,122.179,123.077
5997,2019-06-29 15:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,-0.001,,,,,0.087,,-0.346,,,,,,,,,0.116,,0.254,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.119,,,,0.237,,0.0,,,,121.345,122.188
5997,2019-06-29 15:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,-0.001,,-0.002,,,,,0.091,,-3.403,,,,,,,,,0.079,,0.293,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.234,,,,0.225,,0.0,,,,121.963,122.745
5997,2019-06-29 15:00:00-05,,,,,,0.002,,,,,,,,,,,0.001,,,,-0.001,,-0.001,,,,,0.089,,-5.585,,,,,,,,,0.013,,0.147,,,,,,,,0.001,,,,,,,,,,,,,,,,,6.2,,,,0.246,,-0.001,,,,122.481,123.236
3488,2019-06-24 22:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.762,,,,1.067,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.084,,,,,-0.003,,,,,0.005,-0.001,,,,121.555,122.386
3488,2019-06-24 22:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.77,,,,1.087,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.084,,,,,-0.003,,,,,0.005,-0.001,,,,122.227,122.875
3488,2019-06-24 22:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.768,,,,1.075,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.068,,,,,-0.003,,,,,0.005,0.002,,,,122.086,122.431
3488,2019-06-24 22:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.001,,,0.768,,,,1.029,,,,,,,,,0.001,0.004,,,,,,,,,,,,,,,,,,,,,0.005,,,,,-0.003,,,,,0.004,0.029,,,,122.064,122.455
5997,2019-06-24 22:45:00-05,,,,,,0.015,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.034,,0.465,,,,,,,,,0.05,,0.028,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.276,,0.0,,,,121.995,122.488
5997,2019-06-24 22:30:00-05,,,,,,0.022,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.081,,0.526,,,,,,,,,0.002,,0.029,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.329,,0.0,,,,122.194,122.745
5997,2019-06-24 22:15:00-05,,,,,,0.009,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.081,,0.417,,,,,,,,,0.039,,0.029,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.195,,0.0,,,,122.126,122.646
5997,2019-06-24 22:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.082,,0.581,,,,,,,,,0.107,,0.032,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.245,,0.001,,,,121.935,122.612
5997,2019-06-24 23:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.389,,,,,,,,,0.08,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.01,,,,0.207,,0.0,,,,122.619,123.096
5997,2019-06-24 23:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.463,,,,,,,,,0.002,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.293,,0.001,,,,122.662,123.17
5997,2019-06-24 23:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.427,,,,,,,,,0.002,,0.028,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.264,,0.001,,,,121.945,122.494
5997,2019-06-24 23:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.373,,,,,,,,,0.104,,0.028,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.174,,0.0,,,,122.059,122.496
3488,2019-06-24 23:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.771,,,,1.037,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.082,,,,,-0.003,,,,,0.005,-0.001,,,,122.266,122.778
3488,2019-06-24 23:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.77,,,,1.111,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,-0.003,,,,,0.005,-0.001,,,,122.16,122.846
3488,2019-06-24 23:15:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.767,,,,1.009,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.038,,,,,-0.003,,,,,0.005,-0.001,,,,121.922,122.438
3488,2019-06-24 23:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.001,,,0.765,,,,1.021,,,,,,,,,0.001,0.004,,,,,,,,,,,,,,,,,,,,,0.013,,,,,-0.003,,,,,0.005,-0.001,,,,121.85,122.59
5997,2019-06-25 00:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.54,,,,,,,,,0.109,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.292,,0.001,,,,122.013,122.741
5997,2019-06-25 00:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.376,,,,,,,,,0.002,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.279,,0.001,,,,122.447,122.981
5997,2019-06-25 00:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.004,,0.302,,,,,,,,,0.002,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.206,,0.001,,,,122.83,123.24
5997,2019-06-25 00:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.004,,0.408,,,,,,,,,0.075,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.239,,0.0,,,,122.802,123.318
3488,2019-06-25 00:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.767,,,,1.031,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.082,,,,,-0.003,,,,,0.005,-0.001,,,,121.909,122.303
3488,2019-06-25 00:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.771,,,,1.132,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,-0.003,,,,,0.005,-0.001,,,,122.237,122.891
